 ,'(',')','*','+',"','",'-','.','/',':',';','<','=','@','{','}','~',ASSIGN,BOOL_CONST,CASE,CLASS,DARROW,ELSE,ESAC,FI,IF,IN,INHERITS,INT_CONST,ISVOID,LE,LET,LOOP,NEW,NOT,OBJECTID,OF,POOL,STR_CONST,THEN,TYPEID,WHILE,$end,block_expr_list,branch,branch_list,class,class_list,dispatch_expr_list,expr,feature,feature_list,formal,formal_list,let_expr_tail,opt_dispatch_expr_list,opt_feature_list,opt_formal_list,program
75,,,s52,s53,,s54,s55,s56,,,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,s97,,,,,,,,,,,,,,,,,,,,,,,,,,
76,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,98,,,,,,,,,
77,,r23,"r23, s52","r23, s53",r23,"r23, s54","s55, r23","s56, r23",,r23,"s58, r23","r23, s59","r23, s60",,r23,,,,,,,r23,,r23,,r23,,,,"r23, s61",,r23,,,,r23,r23,,r23,,,,,,,,,,,,,,,,,,,
78,,r25,"s52, r25","r25, s53",r25,"r25, s54","s55, r25","s56, r25",,r25,"s58, r25","r25, s59","s60, r25",,r25,,,,,,,r25,,r25,,r25,,,,"r25, s61",,r25,,,,r25,r25,,r25,,,,,,,,,,,,,,,,,,,
79,,r24,"s52, r24","r24, s53",r24,"s54, r24","s55, r24","s56, r24",,r24,"s58, r24","s59, r24","s60, r24",,r24,,,,,,,r24,,r24,,r24,,,,"r24, s61",,r24,,,,r24,r24,,r24,,,,,,,,,,,,,,,,,,,
80,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,r22,"s52, r22","r22, s53",r22,"r22, s54","s55, r22","s56, r22",,r22,"s58, r22","s59, r22","s60, r22",,r22,,,,,,,r22,,r22,,r22,,,,"r22, s61",,r22,,,,r22,r22,,r22,,,,,,,,,,,,,,,,,,,
82,,r20,"r20, s52","r20, s53",r20,"r20, s54","s55, r20","s56, r20",,r20,"s58, r20","r20, s59","r20, s60",,r20,,,,,,,r20,,r20,,r20,,,,"r20, s61",,r20,,,,r20,r20,,r20,,,,,,,,,,,,,,,,,,,
83,,r18,"r18, s52","r18, s53",r18,"r18, s54","s55, r18","s56, r18",,r18,"r18, s58","r18, s59","r18, s60",,r18,,,,,,,r18,,r18,,r18,,,,"r18, s61",,r18,,,,r18,r18,,r18,,,,,,,,,,,,,,,,,,,
84,,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
